texto;covid
Pego covid tocando numa objeto_contaminado;1
Pego covid através de meio;1
onde começou o covid;1
onde coemçou a infestação do covid;1
O vírus é transmitido através de meio;1
O que significa covid;1
comorbidade   pode ser motivo para tomar vacina?;1
COVID é uma família de vírus;1
como prevenir o contagio;1
covid começou na china;1
covid é doença grave;1
Covid é grave;1
covid é o virus SARS-CoV-2;1
Covid é um vírus grave;1
covid é uma arma quimica;1
Covid é uma doença grave;1
covid é uma gripe forte;1
covid foi criada em laboratorio;1
covid vem do pangolim;1
covid vem do morcego;1
descreva covid;1
fala do covid;1
O que é COVID-19?;1
O que quer dizer covid;1
o que são os virus da família covid;1
covid veio da china;1
quais os virus comuns da família covid;1
Qual a chance de pegar a forma severa da covid;1
quais os virus mais comuns que infectam humanos;1
quais os covid mais comuns;1
Posso pegar covide não perceber;1
pode me dizer o que é covid;1
quais são os meios de transmissão da covid;1
como pega covid;1
como a covid é trasmitida;1
como eu posso ser contaminado;1
Como prevenir o covid;1
Como prevenir;1
Que exame comprova o covid?;1
Como é o Diagnóstico do covid;1
Como saber se tenho covid?;1
Como saber se estou contaminado?;1
Quais os sintomas da covid?;1
O covid-19 pode reduzir o meu nível de CD4?;1
Tenho HIV corro mais risco?;1
Com HIV o covid-19 pode ser mais grave?;1
Pessoas Com HIV correm mais riscos?;1
a pandemia tem a cobertura de quais laboratórios para a contraprova da covid;1
a pandemia tem a cobertura de quais laboratórios para o diagnostico da covid;1
quais os laboratorios estão atuando na comprovação do diagnostico da covid;1
Quais os laboratórios fazem os exames para a comprovação;1
quais os laboratorios capacitados a realizar os exames para covid-19;1
quais os laboratorios credenciados a realizar os exames para covid-19;1
quais os laboratorios estão fazendo os exames para identificar o covid-19;1
quais os laboratorios fazem o exame de comprovoção do covid-19;1
meu teste vai para exame de comprovação em qual laboratorio;1
Posso fabricar meu próprio álcool em gel?;1
Como produzir álcool em gel?;1
Como fazer álcool em gel caseiro?;1
Receita álcool em gel OMS;1
A OPAS ou a OMS divulgaram uma receita de gel pra fazer em casa?;1
Minha oximetria está baixa;1
Se eu ficar doente o que fazer?;1
Estou me sentindo gripado o que faço?;1
Estou com sintoma o que faço?;1
Não estou sentido o cheiro das coisas;1
Não estou sentindo o gosto das coisas;1
Funcionário doente no trabalho;1
O que posso fazer para evitar a propagação da COVID-19 no meu local de trabalho?;1
Como se prevenir do coronavírus?;1
Como evitar covid-19 no trabalho?;1
Como não pegar covid-19 no trabalho?;1
Como identificar que estou com covid;1
Principais sintomas;1
Onde pega covid;1
Como pega covid;1
Uma pessoa do meu trabalho foi diagnosticada com covid posso ter me contaminado;1
Tive contato com um paciente de covid posso estar contaminado;1
Conversei com uma pessoa com covid posso pegar;1
Estou com sintoma é covid?;1
Quais os principais sintomas da covid;1
Que sintoma tem a covid;1
Como posso saber se estou com covid;1
Tive sintoma é covid;1
Dinheiro transmite covid-19;1
Dá pra pegar covid-19 pelo dinheiro;1
posso pegar o virus no onibus / Uber / supermercado / padaria / açougue/ lotéricas / bancos / praças;1
Se eu entrar num elevador depois de uma pessoa contaminada posso pega pelo ar;1
posso pegar virus de conta de água luz condomínio;1
posso pegar virus de embalagens dos correios;1
se eu varrer (ou limpar) um ambiente contaminado posso pegar o virus da poeira levantada;1
o tapete de meu carro pode conter virus e me contaminar;1
ar condicionado pode provocar a contaminação do virus;1
posso pegar covid em bebedouro de água no trabalho;1
posso pegar covid pelos meus óculos sujos;1
